段階	検証ID	検証内容	操作/前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
層0:前提条件設定	J-0	新規賃料設定の作成	賃料体系:段階別歩合/条件選択:最大値選択(固定賃料or歩合額)/段階数:3段階/固定賃料¥200,000/段階1:0〜¥2,000,000→5%/段階2:¥2,000,001〜¥4,000,000→10%/段階3:¥4,000,001〜上限なし→15%/最低保証¥400,000(ON)/売上歩合対象率70%(ON)/適用開始日2026-06-01	「賃料設定を更新しました」+計算式表示が正しい	J-0_賃料設定.png	地代家賃設定画面	設定保存完了+賃料設定一覧に行追加。計算式:歩合対象売上=売上×70%/賃料=MAX(各段階歩合合計,固定¥200,000)(最低保証¥400,000)		未検証	歩合対象売上=売上×70%。最大値選択:MAX(歩合合計,固定賃料)。さらにMAX(結果,最低保証400,000)。5月までは旧設定が継続
層0:前提条件設定	J-1	6月の月次予算設定作成	客単価¥5,000/FD仕入費率30%/PA人件費率20%/客数1000	売上予算¥5,000,000	J-1_月次予算設定6月.png	月次予算設定(6月)	売上予算と変動費率		未検証	売上=5,000×1,000=5,000,000
層0:前提条件設定	J-2	シミュレーション確認	月額売上予算¥5,000,000を入力	シミュレーション金額¥400,000	J-2_シミュレーション.png	賃料設定シミュレーション	計算額の確認		未検証	歩合対象売上=5,000,000×70%=3,500,000/段階1:2,000,000×5%=100,000/段階2:1,500,000×10%=150,000/段階3:0(対象売上3,500,000で段階3に未到達)/歩合合計250,000/MAX(歩合250,000,固定200,000)=250,000/MAX(250,000,最低保証400,000)=400,000(最低保証適用)
層1:親設定の計算と全画面反映	K-1	年間予算一覧(予算構成)	J-0/J-1設定後	6月:地代家賃¥400,000/5月以前:旧設定維持	K-1_年間予算一覧.png	年間予算一覧(予算構成)	6月の地代家賃が新設定の計算額か/5月との切替が正しいか		未検証	6月=新設定DEFAULT¥400,000(最低保証適用。歩合250,000>固定200,000だが最低保証400,000が最大)
層1:親設定の計算と全画面反映	K-2	月次予算設定(6月)	J-0/J-1設定後	予算構成の地代家賃=¥400,000	K-2_月次予算設定6月.png	月次予算設定(6月)	地代家賃が予算構成に含まれているか		未検証	予算のみの画面。地代家賃¥400,000が予算構成に正しく含まれるか
層1:親設定の計算と全画面反映	K-3	年間予実対比(6月)	J-0/J-1設定後	6月:予算¥400,000=実績¥400,000	K-3_年間予実対比.png	年間予実対比(地代家賃行)	6月の予算=実績が成立するか(未来月は月額ベース)		未検証	地代家賃は予算=実績(仕様)。未来月のため月額¥400,000が予算・実績に入る
層1:親設定の計算と全画面反映	K-4	予実対比(期間)	J-0/J-1設定後	6月が未来月のため表示不可/または予算=実績=¥400,000×日割り率	K-4_予実対比6月.png	予実対比(6月)	未来月の予実対比が表示されるか		未検証	6月は未来月。表示される場合は日割り計算の確認が必要
層1:親設定の計算と全画面反映	K-5	月次集計(6月)	J-0/J-1設定後	固定費予算に地代家賃¥400,000が含まれる	K-5_月次集計6月.png	月次集計(6月)	固定費予算(グレー)の値		未検証	未来月の月次集計が表示されるか。表示される場合は固定費予算に¥400,000含む
層1:親設定の計算と全画面反映	K-6	5月以前への影響なし	J-0設定後	5月以前の地代家賃は旧設定のまま変化なし	K-6_年間予算一覧5月以前.png	年間予算一覧(予算構成)	5月以前の値が新設定の影響を受けていないか		未検証	適用開始日06/01の設定は5月以前に影響しない
層2:単月設定の全画面反映	L-1	6月の単月設定	6月を¥250,000に単月設定	デフォルト¥400,000/入力¥250,000/「デフォルトから¥150,000減少」	L-1_単月設定6月.png	単月地代家賃設定モーダル(6月)	保存後の値と差額表示		未検証	400,000-250,000=150,000
層2:単月設定の全画面反映	L-2	年間予算一覧(予算構成)	L-1変更後	6月:地代家賃¥250,000	L-2_年間予算一覧.png	年間予算一覧(予算構成)	6月の地代家賃のみ変化		未検証	単月設定¥250,000が予算に反映
層2:単月設定の全画面反映	L-3	月次予算設定(6月)	L-1変更後	予算構成の地代家賃=¥250,000	L-3_月次予算設定6月.png	月次予算設定(6月)	予算構成に単月設定値が反映		未検証	予算のみの画面。単月設定¥250,000が反映
層2:単月設定の全画面反映	L-4	年間予実対比(6月)	L-1変更後	6月:予算¥250,000=実績¥250,000	L-4_年間予実対比.png	年間予実対比(地代家賃行)	予算=実績が成立するか(3月で発覚した不具合2の再現確認)		未検証	【要注意】3月では単月設定が実績に未反映(実績がDEFAULTのまま)だった。6月でも同様か確認
層2:単月設定の全画面反映	L-5	予実対比(期間)	L-1変更後	未来月のため表示不可/または予算=実績=¥250,000×日割り率	L-5_予実対比6月.png	予実対比(6月)	未来月の予実対比での単月設定反映		未検証	表示される場合、3月で発覚した不具合(予算日割り未適用+実績がDEFAULT)の再現確認
層2:単月設定の全画面反映	L-6	月次集計(6月)	L-1変更後	固定費予算がK-5から¥150,000減少	L-6_月次集計6月.png	月次集計(6月)	固定費予算の変化		未検証	400,000-250,000=150,000の差額が固定費予算に反映
層2:単月設定の全画面反映	L-7	親設定画面	L-1変更後	単月設定一覧に6月¥250,000が表示	L-7_親設定画面.png	地代家賃設定画面	単月設定の履歴表示		未検証	単月設定一覧に6月の行が追加
層3:単月リセットの全画面反映	M-1	6月の単月設定リセット	6月の単月設定を削除(月次設定を削除)	デフォルト計算額¥400,000に復帰	M-1_単月リセット.png	単月地代家賃設定モーダル(6月)	リセット後の値		未検証	月次設定を削除→デフォルト¥400,000に戻る
層3:単月リセットの全画面反映	M-2	年間予算一覧(予算構成)	M-1リセット後	6月:地代家賃¥400,000に復帰	M-2_年間予算一覧.png	年間予算一覧(予算構成)	K-1と同じ値に戻るか		未検証	単月設定リセット→DEFAULT¥400,000に復帰
層3:単月リセットの全画面反映	M-3	月次予算設定(6月)	M-1リセット後	予算構成の地代家賃=¥400,000	M-3_月次予算設定6月.png	月次予算設定(6月)	K-2と同じ値に戻るか		未検証	DEFAULT計算額に復帰
層3:単月リセットの全画面反映	M-4	年間予実対比(6月)	M-1リセット後	6月:予算¥400,000=実績¥400,000	M-4_年間予実対比.png	年間予実対比(地代家賃行)	K-3と同じ値に戻るか		未検証	親設定DEFAULT¥400,000が予算・実績に入る
層3:単月リセットの全画面反映	M-5	月次集計(6月)	M-1リセット後	固定費予算がK-5と同額に復帰	M-5_月次集計6月.png	月次集計(6月)	K-5と同じ値に戻るか		未検証	固定費予算がリセット前の基準値に復帰
層3:単月リセットの全画面反映	M-6	親設定画面	M-1リセット後	単月設定一覧から6月が消える	M-6_親設定画面.png	地代家賃設定画面	単月設定の履歴から削除		未検証	単月設定一覧から6月の行が削除
層4:親設定変更後の全画面反映	N-0	親設定の段階3歩合率変更	段階3の歩合率15%→25%に変更(他条件はそのまま)/適用開始日2026-06-01	新DEFAULT=¥450,000	N-0_賃料設定変更.png	地代家賃設定画面	設定変更完了+シミュレーション金額確認		未検証	歩合対象売上3,500,000は変わらず/段階1:100,000/段階2:150,000/段階3:0(対象売上3,500,000で段階3に未到達)/歩合合計250,000(変わらず)/MAX(歩合250,000,固定200,000)=250,000/MAX(250,000,最低保証400,000)=400,000。★段階3に到達しないため変化なし→代替:売上歩合対象率70%→100%に変更
層4:親設定変更後の全画面反映	N-0改	親設定の売上歩合対象率変更	売上歩合対象率70%→100%に変更(他条件はそのまま)/適用開始日2026-06-01	新DEFAULT=¥450,000	N-0改_賃料設定変更.png	地代家賃設定画面	設定変更完了+シミュレーション金額確認		未検証	歩合対象売上=5,000,000×100%=5,000,000/段階1:2,000,000×5%=100,000/段階2:2,000,000×10%=200,000/段階3:1,000,000×15%=150,000/歩合合計450,000/MAX(歩合450,000,固定200,000)=450,000/MAX(450,000,最低保証400,000)=450,000(歩合合計が固定・最低保証を上回る)
層4:親設定変更後の全画面反映	N-1	年間予算一覧(予算構成)	N-0改変更後	6月:地代家賃¥450,000	N-1_年間予算一覧.png	年間予算一覧(予算構成)	新DEFAULT計算額が反映		未検証	売上歩合対象率変更により歩合対象売上が3,500,000→5,000,000に拡大。歩合合計450,000が固定200,000・最低保証400,000を上回る
層4:親設定変更後の全画面反映	N-2	月次予算設定(6月)	N-0改変更後	予算構成の地代家賃=¥450,000	N-2_月次予算設定6月.png	月次予算設定(6月)	新DEFAULT計算額が反映		未検証	予算構成に¥450,000が含まれる
層4:親設定変更後の全画面反映	N-3	年間予実対比(6月)	N-0改変更後	6月:予算¥450,000=実績¥450,000	N-3_年間予実対比.png	年間予実対比(地代家賃行)	新DEFAULT計算額で予算=実績が成立するか		未検証	親設定変更が予算・実績の両方に反映されるか
層4:親設定変更後の全画面反映	N-4	予実対比(期間)	N-0改変更後	未来月のため表示不可/または予算=実績=¥450,000×日割り率	N-4_予実対比6月.png	予実対比(6月)	新DEFAULT計算額での予実対比		未検証	表示される場合は日割り計算の確認
層4:親設定変更後の全画面反映	N-5	月次集計(6月)	N-0改変更後	固定費予算に¥450,000が含まれる(M-5から¥50,000増加)	N-5_月次集計6月.png	月次集計(6月)	固定費予算の変化		未検証	450,000-400,000=50,000の増加が固定費予算に反映
層4:親設定変更後の全画面反映	N-6	5月以前への影響なし	N-0改変更後	5月以前の地代家賃は旧設定のまま変化なし	N-6_年間予算一覧5月以前.png	年間予算一覧(予算構成)	5月以前の値が変わっていないか		未検証	適用開始日06/01の変更は5月以前に影響しない
